country,bp_date,upper_ci,lower_ci,s1,p1,s2,p2
Algeria,12/07/2021,11/10/2021,28/06/2021,1.4498,6.68E-21,0.4959,0.0036
Argentina,15/03/2021,05/04/2021,08/03/2021,-0.3320,7.07E-05,-1.4551,7.53E-34
Austria,22/03/2021,03/05/2021,15/03/2021,1.0033,2.70E-06,-1.1307,2.83E-08
Belgium,07/06/2021,28/06/2021,24/05/2021,-0.1208,0.1226,-0.0777,0.4140
Bhutan,07/06/2021,12/07/2021,31/05/2021,-0.3478,7.08E-05,-1.0195,4.72E-14
Bolivia,17/05/2021,24/05/2021,03/05/2021,-0.5867,7.53E-15,0.4140,9.65E-09
Cambodia,19/04/2021,10/05/2021,12/10/2020,0.8456,0.0383,4.9057,3.02E-19
Chile,15/03/2021,05/04/2021,08/03/2021,-0.8012,5.94E-12,-1.2343,7.67E-21
Egypt,NA,NA,NA,0.5738,3.11E-23,0.5738,3.11E-23
Germany,03/05/2021,10/05/2021,22/03/2021,-0.4529,1.86E-12,0.3098,1.84E-11
Iceland,05/04/2021,19/04/2021,09/11/2020,-0.2301,0.2265,-1.2485,2.18E-08
Ireland,31/05/2021,07/06/2021,12/04/2021,-0.7516,1.29E-15,0.2852,0.0005
Italy,NA,NA,NA,0.1321,1.45E-06,0.1321,1.45E-06
Japan,01/03/2021,22/03/2021,25/01/2021,0.2430,7.08E-05,0.5608,2.77E-19
Jordan,22/02/2021,01/03/2021,15/02/2021,0.2834,2.90E-13,-0.5510,1.50E-31
Luxembourg,26/04/2021,31/05/2021,19/04/2021,0.2387,0.0786,-1.1086,1.59E-13
Morocco,12/07/2021,26/07/2021,07/06/2021,0.3359,0.0896,0.8604,0.0022
Nepal,NA,NA,NA,0.6206,2.23E-06,0.6206,2.23E-06
Netherlands,19/04/2021,03/05/2021,04/01/2021,-0.3938,2.07E-09,-0.0685,0.2392
New Zealand,08/03/2021,22/03/2021,01/03/2021,-0.3090,0.0002,-1.9044,2.19E-31
Poland,NA,NA,NA,0.7497,1.90E-19,0.7497,1.90E-19
Portugal,12/07/2021,19/07/2021,29/03/2021,-0.0744,0.1142,0.4100,6.12E-07
Qatar,05/04/2021,12/04/2021,29/03/2021,-5.2146,4.80E-33,-1.9644,2.29E-11
Romania,14/06/2021,13/09/2021,24/05/2021,1.2978,1.28E-08,0.6837,8.16E-05
Saudi Arabia,08/02/2021,01/03/2021,01/02/2021,0.5250,5.17E-10,0.3933,1.16E-14
Singapore,22/03/2021,29/03/2021,15/03/2021,-0.3101,2.01E-31,-0.2023,1.06E-21
South Korea,03/05/2021,21/06/2021,05/04/2021,-0.7270,1.86E-19,-1.7722,2.82E-31
Spain,05/04/2021,31/05/2021,15/03/2021,0.0567,0.3069,0.6501,7.14E-15
Sweden,22/03/2021,05/04/2021,08/02/2021,-1.0537,8.11E-13,-0.2332,0.1665
Switzerland,24/05/2021,31/05/2021,29/03/2021,-0.4116,1.30E-07,0.4302,3.74E-07
Thailand,05/07/2021,12/07/2021,10/05/2021,-0.3596,0.1165,2.8575,3.32E-22
Turkey,NA,NA,NA,-0.4154,1.47E-16,-0.4154,1.47E-16
United Arab Emirates,05/04/2021,12/04/2021,29/03/2021,-2.1719,1.15E-19,0.9698,5.08E-10
United Kingdom,15/03/2021,22/03/2021,08/03/2021,-1.1207,2.37E-24,-0.7960,3.84E-19
Vietnam,01/02/2021,22/02/2021,25/01/2021,3.1424,9.14E-15,0.8077,0.0154
