country,n,corr1,corr2,p1,p2
Algeria,91,0.432584806,0.25357541,2.24E-05,0.01550616
Argentina,173,-0.013790322,-0.557557792,0.856956338,0
Austria,1463,0.119121871,-0.265392123,4.91E-06,5.26E-25
Belgium,15749,-0.012043359,-0.009178587,0.130707854,0.249403333
Bhutan,269,-0.053299179,-0.262358591,0.383670816,1.40E-05
Bolivia,142,-0.171820089,0.078959997,0.041003625,0.349848784
Cambodia,573,0.161161467,0.355227457,0.000108904,3.98E-19
Chile,67,-0.561257882,-0.518117966,1.24E-06,9.70E-06
Egypt,486,0.18599295,0.18599295,3.81E-05,3.81E-05
Germany,3858,-0.2173485,-0.035881053,1.78E-42,0.025835995
Iceland,34,-0.516271963,-0.372039725,0.002037045,0.030956427
Ireland,770,-0.302277703,-0.105568323,1.28E-17,0.00337268
Italy,3151,-0.02026702,-0.02026702,0.255400511,0.255400511
Japan,972,0.44245338,0.235837002,0,1.13E-13
Jordan,2610,0.12701681,-0.180177179,7.40E-11,1.75E-20
Luxembourg,2626,-0.009515889,-0.173830444,0.625963585,2.91E-19
Morocco,310,-0.076964783,0.231583156,0.176395203,4.03E-05
Nepal,660,0.042427345,0.042427345,0.276338495,0.276338495
Netherlands,4078,-0.117494025,-0.156420828,5.20E-14,9.40E-24
New Zealand,241,-0.165921093,-0.598144782,0.009940107,0
Poland,2157,0.176855579,0.176855579,1.29E-16,1.29E-16
Portugal,3701,0.050198736,-0.115514784,0.002252281,1.81E-12
Qatar,2015,0.695508529,0.027475826,2.61E-291,0.217641842
Romania,4127,0.290154979,0.088081916,7.15E-81,1.45E-08
Saudi Arabia,171,0.033345333,0.044183647,0.664733847,0.565732452
Singapore,1377,0.078450639,-0.113531177,0.003579872,2.41E-05
South Korea,6425,-0.041524799,-0.156764999,0.000870789,1.25E-36
Spain,1408,-0.022925148,-0.060567901,0.390022396,0.023039599
Sweden,173,-0.250562043,0.225456703,0.000914661,0.002918415
Switzerland,5199,-0.11165544,0.017761863,6.80E-16,0.200370723
Thailand,1165,-0.06999326,0.390043383,0.016892101,0
Turkey,1381,-0.143273142,-0.143273142,8.94E-08,8.94E-08
United Arab Emirates,3435,-0.142047986,-0.187435964,6.03E-17,1.57E-28
United Kingdom,2484,-0.04198532,0.00603591,0.03640213,0.763658898
Vietnam,2164,0.249609157,-0.002073774,4.29E-32,0.923191874
